Y,X,Capacity Source,Short Name,Movement,State,Smoothed Occupancy (%),Smoothed Total Flow (veh/h),System,
-37.703093,144.89235,Upper Limit,1910E_P1,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,OK,7.08,1742.97,VicRoads Production,
-37.704847,144.891483,Upper Limit,1910M_P0,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,OK,6.34,1771.50,VicRoads Production,
-37.704898,144.89146,Upper Limit,1910M_P1,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,OK,6.35,1775.56,VicRoads Production,
-37.706983,144.890614,Upper Limit,1910S_P1,Freeway MVT on Western Ring Rd Off Ramp SB between Western Ring Rd Wb Off Ramp Split To Tullamarine ,OK,6.27,1798.79,VicRoads Production,
-37.701211,144.894207,Default,7915IB_E,Freeway MVT on Western Ring Rd Off Ramp SWB between Western Ring Rd Tullamarine Fwy Off Ramp To Sout,Failed,,,VicRoads Production,
-37.701922,144.893434,Upper Limit,14951AB_E_P0,Freeway MVT on Western Ring Rd Off Ramp SWB between Western Ring Rd Tullamarine Fwy Off Ramp To Sout,OK,7.43,2801.81,VicRoads Production,
-37.701964,144.89339,Upper Limit,14951AB_E_P1,Freeway MVT on Western Ring Rd Off Ramp SWB between Western Ring Rd Tullamarine Fwy Off Ramp To Sout,OK,7.46,2816.15,VicRoads Production,
-37.818443,144.809224,Upper Limit,14905AB_L_P0,Freeway MVT on Western Ring Rd SB between Boundary Rd Off Ramp (ib) & Boundary Rd On Ramp (ib),Fault,24.06,4619.82,VicRoads Production,
-37.813834,144.808216,Upper Limit,14907AB_L_P0,Freeway MVT on Western Ring Rd SB between Boundary Rd Off Ramp (ib) & Boundary Rd On Ramp (ib),OK,13.25,4609.72,VicRoads Production,
-37.813888,144.808219,Upper Limit,14907AB_L_P1,Freeway MVT on Western Ring Rd SB between Boundary Rd Off Ramp (ib) & Boundary Rd On Ramp (ib),OK,13.32,4610.46,VicRoads Production,
-37.818494,144.809244,Upper Limit,14905AB_L_P1,Freeway MVT on Western Ring Rd SB between Boundary Rd Off Ramp (ib) & Boundary Rd On Ramp (ib),OK,23.56,4791.35,VicRoads Production,
-37.77218,144.794442,Measured,14920AB_P1,Freeway MVT on Western Ring Rd SB between Western Hwy (overpass) & Western Hwy On Ramp (ib),OK,7.62,4287.11,VicRoads Production,
-37.772128,144.794463,Measured,14920AB_P0,Freeway MVT on Western Ring Rd SB between Western Hwy (overpass) & Western Hwy On Ramp (ib),OK,7.61,4281.48,VicRoads Production,
-37.777574,144.794077,Upper Limit,14919AB_P0,Freeway MVT on Western Ring Rd SB between Western Ring Rd And Western Hwy On Ramp (ib) & End Of Ball,OK,8.47,5135.66,VicRoads Production,
-37.777626,144.794062,Measured,14919AB_P1,Freeway MVT on Western Ring Rd SB between Western Ring Rd And Western Hwy On Ramp (ib) & End Of Ball,OK,8.60,5170.79,VicRoads Production,
-37.791527,144.787609,Measured,14916AB_L_P0,Freeway MVT on Western Ring Rd SB between Western Ring Rd Off Ramp & Western Ring Rd And Fitzgerald ,Fault,57.16,1023.22,VicRoads Production,
-37.791581,144.787604,Measured,14916AB_L_P1,Freeway MVT on Western Ring Rd SB between Western Ring Rd Off Ramp & Western Ring Rd And Fitzgerald ,Fault,31.21,918.74,VicRoads Production,
-37.724308,144.864442,Upper Limit,14942AB_E_P0,Freeway MVT on Western Ring Rd SB to Calder Fwy WB Connector (before join),Failed,,,VicRoads Production,
-37.724347,144.864398,Measured,14942AB_E_P1,Freeway MVT on Western Ring Rd SB to Calder Fwy WB Connector (before join),OK,7.07,1118.88,VicRoads Production,
-37.726619,144.862456,Measured,14941AB_E_P0,Freeway MVT on Western Ring Rd SB to Calder Fwy WB Connector (before join),OK,7.12,2042.35,VicRoads Production,
-37.726676,144.862442,Measured,14941AB_E_P1,Freeway MVT on Western Ring Rd SB to Calder Fwy WB Connector (before join),OK,6.99,2052.20,VicRoads Production,
-37.822823,144.811052,Upper Limit,14903AB_P0,Freeway MVT on Western Ring Rd SEB between Boundary Rd On Ramp (ib) & Western Ring Rd Split,Failed,,,VicRoads Production,
-37.822874,144.811079,Upper Limit,14903AB_P1,Freeway MVT on Western Ring Rd SEB between Boundary Rd On Ramp (ib) & Western Ring Rd Split,Failed,,,VicRoads Production,
-37.798343,144.78966,Upper Limit,14914AB_L_P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd Off Ramp (ib) & Fitzgerald Rd On Ramp (IB),Failed,,,VicRoads Production,
-37.798377,144.7897,Measured,14914AB_L_P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd Off Ramp (ib) & Fitzgerald Rd On Ramp (IB),Failed,,,VicRoads Production,
-37.800104,144.794734,Upper Limit,14912AB_L_P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd Off Ramp (ib) & Fitzgerald Rd On Ramp (IB),OK,7.43,3409.63,VicRoads Production,
-37.800108,144.794784,Upper Limit,14912AB_L_P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd Off Ramp (ib) & Fitzgerald Rd On Ramp (IB),OK,7.30,3405.70,VicRoads Production,
-37.801732,144.804725,Upper Limit,7870AB_P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),Failed,,,VicRoads Production,
-37.801757,144.804779,Upper Limit,7870AB_P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),Failed,,,VicRoads Production,
-37.809482,144.807977,Measured,14908AB_L_P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),Failed,,,VicRoads Production,
-37.809543,144.80798,Upper Limit,14908AB_L_P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),Failed,,,VicRoads Production,
-37.80036,144.797355,Measured,14909AB_N1P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),Failed,,,VicRoads Production,
-37.80036,144.797355,Measured,14909AB_N1P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),Failed,,,VicRoads Production,
-37.805277,144.807642,Upper Limit,14909AB_L_P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),OK,9.19,4883.24,VicRoads Production,
-37.805335,144.807655,Upper Limit,14909AB_L_P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),OK,9.18,4895.33,VicRoads Production,
-37.801518,144.804269,Upper Limit,14910AB_L_P0,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),OK,9.41,5197.63,VicRoads Production,
-37.801544,144.804324,Upper Limit,14910AB_L_P1,Freeway MVT on Western Ring Rd SEB between Fitzgerald Rd On Ramp (ib) & Boundary Rd Off Ramp (ib),OK,9.35,5167.66,VicRoads Production,
